timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733081378550,39,Prueba,200,OK,Thread Group 1-4,text,true,,507,129,6,6,http://172.23.66.12:3000/proceso_c,36,0,15
1733081378550,39,Prueba,200,OK,Thread Group 1-1,text,true,,507,129,6,6,http://172.23.66.12:3000/proceso_c,37,0,15
1733081378554,42,Prueba,200,OK,Thread Group 1-5,text,true,,507,129,5,5,http://172.23.66.12:3000/proceso_c,30,0,10
1733081378545,69,Prueba,200,OK,Thread Group 1-3,text,true,,507,129,4,4,http://172.23.66.12:3000/proceso_c,69,0,20
1733081378584,30,Prueba,200,OK,Thread Group 1-6,text,true,,521,129,4,4,http://172.23.66.12:3000/proceso_c,30,0,1
1733081378543,72,Prueba,200,OK,Thread Group 1-2,text,true,,507,129,2,2,http://172.23.66.12:3000/proceso_c,72,0,22
1733081378613,6,Prueba,200,OK,Thread Group 1-7,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,6,0,2
1733081378645,12,Prueba,200,OK,Thread Group 1-8,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,12,0,2
1733081378675,16,Prueba,200,OK,Thread Group 1-9,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,16,0,1
1733081378696,5,Prueba,200,OK,Thread Group 1-10,text,true,,507,129,2,2,http://172.23.66.12:3000/proceso_c,5,0,1
1733081378699,5,Prueba,200,OK,Thread Group 1-11,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,5,0,1
1733081378750,25,Prueba,200,OK,Thread Group 1-13,text,true,,507,129,2,2,http://172.23.66.12:3000/proceso_c,25,0,4
1733081378754,25,Prueba,200,OK,Thread Group 1-12,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,24,0,2
1733081378787,8,Prueba,200,OK,Thread Group 1-14,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,8,0,1
1733081378815,13,Prueba,200,OK,Thread Group 1-15,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,13,0,1
1733081378870,13,Prueba,200,OK,Thread Group 1-16,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,13,0,1
1733081378907,21,Prueba,200,OK,Thread Group 1-17,text,true,,521,129,1,1,http://172.23.66.12:3000/proceso_c,21,0,1
1733081378936,7,Prueba,200,OK,Thread Group 1-18,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,7,0,2
1733081378966,13,Prueba,200,OK,Thread Group 1-19,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,13,0,1
1733081378993,8,Prueba,200,OK,Thread Group 1-20,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,8,0,1
1733081379022,13,Prueba,200,OK,Thread Group 1-21,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,12,0,1
1733081379051,12,Prueba,200,OK,Thread Group 1-22,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,12,0,1
1733081379080,12,Prueba,200,OK,Thread Group 1-23,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,12,0,2
1733081379109,12,Prueba,200,OK,Thread Group 1-24,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,12,0,1
1733081379138,12,Prueba,200,OK,Thread Group 1-25,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,12,0,1
1733081379167,11,Prueba,200,OK,Thread Group 1-26,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,11,0,2
1733081379196,10,Prueba,200,OK,Thread Group 1-27,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,10,0,1
1733081379227,12,Prueba,200,OK,Thread Group 1-28,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,12,0,1
1733081379255,20,Prueba,200,OK,Thread Group 1-29,text,true,,507,129,2,2,http://172.23.66.12:3000/proceso_c,20,0,2
1733081379271,7,Prueba,200,OK,Thread Group 1-30,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,7,0,1
1733081379313,17,Prueba,200,OK,Thread Group 1-31,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,17,0,5
1733081379337,6,Prueba,200,OK,Thread Group 1-32,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,6,0,0
1733081379368,13,Prueba,200,OK,Thread Group 1-33,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,13,0,2
1733081379397,8,Prueba,200,OK,Thread Group 1-34,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,8,0,1
1733081379426,12,Prueba,200,OK,Thread Group 1-35,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,12,0,1
1733081379453,11,Prueba,200,OK,Thread Group 1-36,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,11,0,1
1733081379482,11,Prueba,200,OK,Thread Group 1-37,text,true,,507,129,1,1,http://172.23.66.12:3000/proceso_c,11,0,1
